F a l a ; C a n d i d a t o ; S e n t e n ç a ; S e n t i m e n t o
0 ; A É C I O      N E V E S ; C a n d i d a t a      e s s a      c a m p a n h a      v a i      p a s s a r      p a r a      a      h i s t ó r i a      c o m o      a      m a i s      s ó r d i d a      d a s      c a m p a n h a s      e l e i t o r a i s      d o      n o s s o      s i s t e m a      d e m o c r á t i c o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
0 ; A É C I O      N E V E S ; A      c a l u n i a      a      i n f â m i a      a s      a c u s a ç õ e s      i r r e s p o n s á v e i s      f o r a m      f e i t a s      n ã o      s ó      e m      r e l a ç ã o      a      m i m      c o m      r e l a ç ã o      a o      E d u a r d o      C a m p o s      e m      r e l a ç ã o      à      M a r i n a      a g o r a      e m      r e l a ç ã o      a      m i m . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
0 ; A É C I O      N E V E S ; I s s o      é      u m      p é s s i m o      e x e m p l o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
0 ; A É C I O      N E V E S ; M a s      e u      l h e      f a ç o      u m a      p e r g u n t a      c a n d i d a t a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
0 ; A É C I O      N E V E S ; A      r e v i s t a      h o j e      p u b l i c a      q u e      o      d e l a t o r      u m      d o s      d e l a t o r e s      d o      “ p e t r o l ã o ”      d i s s e      q u e      a      s e n h o r a      e      o      e x - p r e s i d e n t e      L u l a      t i n h a m      c o n h e c i m e n t o      d a      c o r r u p ç ã o      n a      P e t r o b r a s      u m a      o p o r t u n i d a d e      d a      s e n h o r a      r e s p o n d e r      a o s      b r a s i l e i r o s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
0 ; A É C I O      N E V E S ; A      s e n h o r a      s a b i a      c a n d i d a t a      d a      c o r r u p ç ã o      n a      P e t r o b r a s ? ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 ; A É C I O      N E V E S ; C a n d i d a t a      e u      a p e n a s      d e i      a      s e n h o r a      a      o p o r t u n i d a d e      d e      a p r e s e n t a r      s u a      d e f e s a      n ã o      a c r e d i t o      q u e      a      a c u s a ç ã o      à      r e v i s t a      o u      a      t e n t a t i v a      d o      s e u      p a r t i d o      d e      t i r á - l a      d e      c i r c u l a ç ã o      s e j a      a      m e l h o r      r e s p o s t a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 ; A É C I O      N E V E S ; A      d e l a ç ã o      p r e m i a d a      t r a z      a o      r é u      o      b e n e f í c i o      d e l e      o b v i a m e n t e      a p r e s e n t a r      p r o v a s      c a m i n h o s      q u e      l e v e m      à      c o m p r o v a ç ã o      d a s      a c u s a ç õ e s      e      n ó s      t e m o s      q u e      a g u a r d a r      q u e      i s s o      o c o r r a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 ; A É C I O      N E V E S ; U m a      o u t r a      r e v i s t a      p a r a      v e r      q u e      n ã o      h á      u m      c o m p l ô      c o n t r a      a      s e n h o r a      l a n ç a      h o j e      n a      s u a      c a p a      a      r e v i s t a      I s t o      É      f a l a      d a      c a m p a n h a      d a      m e n t i r a      d a      c a m p a n h a      d a      i n f â m i a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 ; A É C I O      N E V E S ; H o j e      a q u i      n o      R i o      d e      J a n e i r o      n a      s e d e      d o      s e u      p a r t i d o      f o r a m      a p r e e n d i d o s      b o l e t i n s      a p ó c r i f o s      c o n t r a      a      m i n h a      c a n d i d a t u r a . ; { ' n e g ' :      0 . 1 1 5 ,      ' n e u ' :      0 . 8 8 5 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
